Company,Job Title,,Location,First Stage,Second Stage,Third Stage,Fourth Stage,References Handed,Date Applied,Notes,Updated At,Status
Conde Nast,Data Scientist I,https://condenast.wd5.myworkdayjobs.com/en-US/CondeCareers/job/1-World-Trade-Center-New-York-NY/Data-Scientist-I_R-04338,New York City,,,,,,12/3/2020,,12/3/2020,In Progress
Qualtrics,IT Analyst,,Dallas,,,,,,12/2/2020,Referred by Wes,12/3/2020,In Progress
HCSC,Informatics Consultant,https://hcscrccorp.peoplefluent.com/res_viewjob.html?optlink-view=view-76228&ERFormID=res_newjoblist&ERFormCode=any,Richardson,,,,,,12/1/2020,Referred by Leigh,12/28/2020,Rejected
Keyhole,Product Data Analyst,,Remote,,,,,,12/1/2020,,12/1/2020,In Progress
Hopper,Data Analyst,,Boston / New York,,,,,,12/1/2020,,12/1/2020,In Progress
USAA,Business Intelligence Analyst,,San Antonio / Remote,,,,,,12/1/2020,Referred by Lisa,12/4/2020,Rejected
Duetto,Data Analyst,,Remote,,,,,,12/1/2020,,12/1/2020,In Progress
Phosphorus,Data Entry Specialist,,Remote,,,,,,12/1/2020,,12/1/2020,In Progress
Victory,Data Analyst,,Remote,,,,,,12/1/2020,,12/1/2020,In Progress
Boss Flight Entertainment,Data Analyst,,Austin,,,,,,12/1/2020,,12/1/2020,In Progress
Torchy's Tacos,FP&A Analyst,,Austin,,,,,,12/1/2020,,12/1/2020,In Progress
PepsiCo,Shopper Insights Analyst,,Plano,,,,,,12/1/2020,Referred by Chris,12/1/2020,In Progress
Digit,Product Analyst,,San Francisco,,,,,,12/1/2020,,12/15/2020,Rejected
Updater,Data Analyst,,Remote,Recruiter Screen,Initial Review,,,,11/26/2020,Locally Optimistic,12/28/2020,Rejected
Everlywell,Data Analyst,,Austin,,,,,,11/25/2020,,12/1/2020,Rejected
The Trevor Project,Data Analyst,,Remote,,,,,,11/24/2020,,11/25/2020,In Progress
MalwareBytes,Data Analyst - Contractor,,Remote,,,,,,11/24/2020,,11/30/2020,Rejected
Netlify,Senior Data Analyst,,Remote,,,,,,11/24/2020,Locally Optimistic,12/4/2020,Rejected
Ever Commerce,Data Analyst,,Irving,,,,,,11/18/2020,,11/24/2020,
Atom Finance,Data Analyst,,Remote,,,,,,11/17/2020,,11/30/2020,Rejected
Summersalt,Data Analyst,,Remote,,,,,,11/10/2020,,11/17/2020,Rejected
Black Box Intelligence,Data Operations Analst,,Remote,,,,,,11/6/2020,,11/24/2020,Rejected
Effective Spend,Digital Marketing Data Analyst,,Austin,Screen,Call with Hiring Manager,Team Presentation,,,11/5/2020,Made it to the final round,12/11/2020,Rejected
Politico,Audience Insights and Development Analyst,,Arlington,,,,,,11/5/2020,,11/5/2020,
Broadlume,Business Intelligence Analyst,,Remote,,,,,,11/5/2020,,11/5/2020,
OwnUp,Data Analyst,,Remote,,,,,,11/2/2020,,11/5/2020,
Drizly,"BI Analyst, Strategic Partnerships",,Austin,Recruiter Screen,Initial Review,,,,11/2/2020,,11/5/2020,
DataDog,Data Analyst - Internal Analytics Platform,,New York City,,,,,,10/30/2020,,11/2/2020,
JW Player,Product Analyst,,New York City,,,,,,10/30/2020,Locally Optimistic,10/30/2020,
Lockheed Martin,Data Analytics & Development - SQL Server,,Fort Worth,,,,,,10/30/2020,ChiptonRoss,10/30/2020,
CapitalOne,Sr Data Analyst,,Richmond,,,,,,10/29/2020,ICOMMA,10/30/2020,
GAINSCO,Digital Transformation and Data Analyst (Claims),,Dallas,,,,,,10/28/2020,,10/29/2020,
Toyota,Performance Insights Data Analyst,,Plano,,,,,,10/28/2020,,10/28/2020,Rejected
Valukoda,Product Analyst,,Plano,,,,,,10/28/2020,,10/28/2020,
DSI Systems,Data Analyst,,Richardson,,,,,,10/28/2020,,10/28/2020,
Signify Health,Data Analyst,,Dallas,,,,,,10/28/2020,,10/28/2020,
Crescent Bank & Trust,SQL Data Analyst,,Carrollton,,,,,,10/28/2020,,10/28/2020,
Kibo Commerce,Operations Analyst,,Dallas,,,,,,10/28/2020,,10/28/2020,
Home Point Financial,Data Analyst,,Remote,Recruiter Screen,Call with Hiring Manager,Call with another employee,Dept Head + HM,,10/28/2020,Final Round,11/17/2020,In Progress
City of Dallas,Data Coordinator,,Dallas,Panel Interview,,,,,10/27/2020,,11/11/2020,In Progress
Javelin Agency,Marketing Data Analyst,,Dallas,,,,,,10/27/2020,,10/27/2020,
Social Solutions,Data Analyst,,Austin,,,,,,10/27/2020,,11/5/2020,Rejected
MINT Dentistry,Jr. Data Reporting Analyst,,Dallas,,,,,,10/26/2020,,10/26/2020,Rejected
Splunk,Data Analyst - Global Business Operations,,San Francisco,,,,,,10/23/2020,,10/27/2020,
Webrlow,Data Analyst,,Remote,Recruiter Screen,,,,,10/14/2020,,11/6/2020,Rejected
TWC,Data Analyst I,,Remote,,,,,,9/18/2020,,,
Balena,Product Data Analyst (Growth),,Remote,Hiring Manager Call,,,,,9/18/2020,,10/9/2020,Rejected
Shift,Data Scientist,,San Francisco,,,,,,9/18/2020,,,
WebTPA,Data Analyst,,Irving,,,,,,9/17/2020,,,
Moment,Data Analyst,,Remote,Call with Hiring Manager,,,,,9/17/2020,AngelList,,Rejected
LMB Associates,Business Data Analyst,,DFW Metroplex,,,,,,9/15/2020,"LinkedIn, Agency",9/24/2020,Rejected
Pingboard,Data Analyst,,Austin,Call with Hiring Manager,Call with CEO,Tech Assessment,Panel Interview,Yes,9/15/2020,,10/27/2020,Rejected
Mammoth Growth,Marketing Data Analyst,,Remote,Call with CEO,,,,,9/14/2020,,09/25/2020,Rejected
Starry,Data Analyst,,Remote,Recruiter Screen,Call with Hiring Manager,,,,9/14/2020,,10/12/2020,Rejected
Figma,Data Scientst - Marketing,,Remote,,,,,,9/14/2020,,,Rejected
Figma,Data Scientst,,Remote,,,,,,9/14/2020,,,Rejected
RealPage,Data Analyst,,Richardson,,,,,,9/10/2020,,,
Preset,Senior Marketing Manager,,San Mateo,Recruiter Screen,,,,,9/7/2020,,9/24/2020,Rejected
Zaper,Senior Decision Scientist - Operations,,Remote,,,,,,9/3/2020,,9/14/2020,Rejected
Mint Dentistry,Data Reporting Analyst,,Dallas,,,,,,9/3/2020,,,Rejected
Sonder,Revenue Management Analyst,,Remote,,,,,,9/3/2020,,,Rejected
Sonder,Performance Management Analyst,,Remote,,,,,,9/3/2020,,,Rejected
The Athletic Media,Product Analyst,,Remote,,,,,,8/27/2020,,,Rejected
Lilt,Data Analyst,,Indiana,Homework,HM Interview,Interview with one stakeholder,Interview with Director,,8/27/2020,,10/12/2020,Rejected
Digital Ocean,Product Analyst,,Remote,,,,,,8/27/2020,,9/29/2020,Rejected
Drizly,Product Data Analyst,,Remote,,,,,,8/27/2020,,08/27/2020,
Facebook,Data Quality Analyst,,Austin,,,,,,8/27/2020,,08/27/2020,
Chegg,Product Analyst (3 - 6 month contract),,Remote,,,,,,8/24/2020,,08/27/2020,
Microsoft,Content Developer -- Data & AI,,Redmond,,,,,,8/20/2020,,,
Unity Technologies,Business Intelligence Analyst,,San Francisco,,,,,,8/20/2020,,10/12/2020,Rejected
Smalls,Data Analyst,,Remote,Resume Screen,,,,,8/20/2020,AngelList,09/17/2020,Rejected
Doximity,"Data Analyst, Insights",,Remote,Recruiter Screen,Hiring Manager Interview,Tech Assessment,,,8/20/2020,,,Rejected
DISD,"Analyst I, Data",,Dallas,,,,,,8/20/2020,,9/9/2020,Rejected
Blucora,Business Intelligence Analyst,,Irving,,,,,,8/20/2020,,,
At Home,Data Analyst,,Plano,,,,,,8/19/2020,,08/20/2020,
RealPage,Sales Operations Analyst,,Richardson,Recruiter Screen,,,,,8/19/2020,,08/31/2020,Rejected
Yelp,Data Analyst (Remote),,Remote,,,,,,8/18/2020,,,
American Airlines,"Senior Analyst (Data Science), Customer Insights and Analysis",,Ft Worth,,,,,,8/18/2020,,9/27/2020,Rejected
Mr. Cooper,Data Analyst/Dialer Administrator,,Lewisville,Recruiter Reachout,Call with Hiring Manager,,,,8/18/2020,,09/03/2020,Rejected
Goldman Sachs,Analytics & Reporting,,Dallas,,,,,,8/14/2020,,,
GoHealth,Data Analyst,,Chicago,,,,,,8/12/2020,,08/17/2020,
BrainPop,Data Analyst,,New York City,,,,,,8/12/2020,,,
Amazon,Business Analyst,,Seattle,,,,,,8/12/2020,,,
PMG,People Operations Coordinator,,Ft. Worth,,,,,,8/12/2020,,,
RealPage,Data Qualitty Business Analyst,,Richardson,,,,,,8/12/2020,,08/12/2020,
Duolingo,Business Intelligence Analyst,,Pittsburgh,,,,,,8/12/2020,,09/21/2020,
BlackBaud,Data Analyst,,Austin,,,,,,8/12/2020,,,
Pathrise,Associate Marketing Analyst,,Remote,,,,,,8/11/2020,,,
McAfee,Business Data Analyst,,Plano,,,,,,8/8/2020,,,
Mr. Cooper,Talent Acquisition Data Analyst,,Irving,Recruiter Screen,,,,,8/6/2020,,08/18/2020,
Teacher Pay Teachers,Business Analyst,,Remote,,,,,,8/5/2020,,08/12/2020,
Drizly,Data Scientist,,Remote,,,,,,8/5/2020,,,
Michaels,Data Science Analyst,,Dallas,,,,,,8/5/2020,,,
Uplight,Associate Data Analyst,,Remote,,,,,,8/2/2020,,10/12/2020,Rejected
Verizon,Data Analyst,,Irving,,,,,,7/30/2020,,,Rejected
LegalSheild,Data Analyst,,Remote,Recruiter Screen,,,,,7/24/2020,,,
Cottonwood Financial,Data Scientist - Credit Risk,,Irving,,,,,,7/22/2020,,,Rejected
Imperfect Foods,Data Analyst,,San Francisco,,,,,,7/17/2020,,09/21/2020,Rejected
